Tornado # in Year;Year;Month;Day;Time (CST);County;Damage Scale;Maximum Path Width (Yards);Path Length (Miles);Fatalities;Injuries;Location;
30;1998;9;27;1655;Baldwin;F0;30;0.1;0;0;3 N Loxley;
29;1998;9;19;1300;Baldwin;F0;30;0.1;0;0;Gulf Shores;
28;1998;6;23;1400;Geneva;F1;30;2.5;0;0;4 SW Slocumb-6 S Slocumb;
27;1998;5;9;1820;Pickens-Tuscaloosa;F0;70;6.5;0;0;1.4 S Gordo-2.3 NE Holman;
26;1998;5;9;1809;Pickens;F0;50;2.2;0;0;1.7 NW Carrollton-1.2 NNE Carrollton;
25;1998;5;7;0527;Madison;F1;80;2.0;0;0;New Market;
24;1998;5;7;0503;Madison;F1;50;1.5;0;0;Toney;
23;1998;5;4;0028;Houston;F0;30;0.2;0;0;Ashford;
22;1998;5;3;1630;Coffee;F0;30;0.3;0;0;New Brockton;
21;1998;4;18;1745;Dallas;F0;30;0.2;0;0;Marion Junction;
20;1998;4;18;1724;Chilton;F0;30;1.0;0;0;3.4 SE Maplesville - 4.4 SE Maplesville;
19;1998;4;18;1558;Calhoun;F1;80;4.2;0;0;5.3 W Oxford-3.7 NW Oxford;
18;1998;4;17;1615;Covington;F1;300;1.0;0;0;Opp;
17;1998;4;16;2135;Cherokee;F0;80;1.3;0;0;0.3 S Centre-1.3 E Centre;
16;1998;4;16;2101;Etowah;F1;100;3.1;0;0;2.2 SW Reece City-0.6 N Reece City;
15;1998;4;16;2046;Etowah;F1;150;8.4;0;0;1.5 W Gallant - 1.8 W Attalla;
14;1998;4;16;2035;Blount;F0;80;2.1;0;0;6.0 NE Oneonta-8.1 NE Oneonta;
13;1998;4;16;2015;Blount-Cullman;F1;100;3.7;0;0;2.5 NNE Bangor-3.7 NE Bangor;
12;1998;4;16;2004;Cullman;F1;90;5.8;0;0;1.9 NE Arkadelphia - 0.5 NE Damascus;
11;1998;4;16;1957;Cullman;F0;80;4.0;0;0;4 WNW Arkadelphia - Wilburn- 1.4 NW Arkadelphia;
10;1998;4;16;1946;Walker-Cullman;F1;110;5.5;0;0;6.5 NW Sipsey-5.2 N Sipsey;
9;1998;4;16;1936;Walker;F0;100;4.6;0;0;2.6 NNW Jasper-4.6 NE Jasper;
8;1998;4;16;1929;Walker;F0;50;1.8;0;0;0.9 WNW Townley-1.3 NE Townley;
7;1998;4;16;1825;Lamar;F1;80;4.9;0;0;4.9 WSW Hightogy-Hightogy;
